sample_id,initial_phase_bin_center,initial_probability
V,0.33928571428571425,0.027999999999999994
V,0.375,0.026599999999999995
V,0.4107142857142857,0.025799999999999997
V,0.4464285714285714,0.023599999999999996
V,0.4821428571428571,0.029399999999999996
V,0.5178571428571428,0.022999999999999996
V,0.5535714285714286,0.025399999999999995
V,0.5892857142857142,0.022999999999999996
V,0.625,0.021599999999999998
V,0.6607142857142856,0.023399999999999997
V,0.6964285714285714,0.027999999999999994
V,0.7321428571428571,0.028599999999999993
V,0.7678571428571428,0.028799999999999996
V,0.8035714285714286,0.04259999999999999
V,0.8392857142857142,0.05299999999999999
V,0.875,0.05599999999999999
V,0.9107142857142856,0.06059999999999999
V,0.9464285714285714,0.06139999999999999
V,0.9821428571428571,0.05839999999999999
