sample_id,observable,embedding_family,embedding_dimension,time_delay,status,error,nn_distance_entropy_bits,ks_metric,n_points_used,state_dim,nearest_distance_mean,nearest_distance_std,nearest_distance_min,nearest_distance_max,nn_cv,log10_nn_mean,nearest_index_gap_mean,nearest_index_gap_median,nearest_index_gap_min,adjacent_neighbor_fraction
R,Sigma_R_cm_inv,Delay embedding,2,1,ok,,1.1543853995798057,1.1543853995798057,4999,2,0.04571148569528059,0.12059900724810545,0.00028372536554464243,3.882880224020078,2.638264878315216,-1.3399746632171048,590.0330066013203,211.0,1.0,0.011002200440088018
R,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.528530600599639,2.528530600599639,4998,3,0.13981980929916285,0.23285812222071284,0.0010197958150767784,4.687930015014097,1.6654158190190123,-0.854431294539606,472.1442577030812,162.0,1.0,0.012204881952781112
R,Sigma_R_cm_inv,Delay embedding,4,1,ok,,3.3143061719124,3.3143061719124,4997,4,0.2609163164048837,0.3612248367927715,0.0030758126316075616,5.199412772633207,1.3844470969414078,-0.583498761438416,415.59695817490496,142.0,1.0,0.013608164898939363
R,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.6751579244128343,3.6751579244128343,4996,5,0.3844638182190158,0.4815416387031413,0.008460757032424377,5.994071083532553,1.252501837318723,-0.41514452526896917,372.68014411529225,116.0,1.0,0.018815052041633307
R,Sigma_R_cm_inv,Delay embedding,6,1,ok,,3.9779890108212177,3.9779890108212177,4995,6,0.5048811935465253,0.5956674986643992,0.013206451427336946,6.284330927714696,1.1798171654582101,-0.2968108061527004,344.8900900900901,106.0,1.0,0.023223223223223222
R,Sigma_R_cm_inv,Delay embedding,7,1,ok,,4.231897590080345,4.231897590080345,4994,7,0.6191758814859625,0.6984912892583118,0.015469593472789197,6.343318916365028,1.128098348373764,-0.20818596889675056,330.4703644373248,100.0,1.0,0.02302763315979175
R,Sigma_R_cm_inv,Delay embedding,8,1,ok,,4.255896984295834,4.255896984295834,4993,8,0.734913396719568,0.8055779115445031,0.01703986975973659,7.180072038799267,1.0961535265777764,-0.1337638358033862,324.5031043460845,96.0,1.0,0.03184458241538153
R,Sigma_R_cm_inv,Delay embedding,9,1,ok,,4.394258848944248,4.394258848944248,4992,9,0.846335043202858,0.9048784503128294,0.019579127818896907,7.22911040839525,1.0691728501366922,-0.07245767642973285,318.4727564102564,90.0,1.0,0.03786057692307692
R,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.4567289208551735,4.4567289208551735,4991,10,0.954307199231893,1.0056828947964302,0.042155341968449146,7.5907915157126356,1.0538355946647315,-0.02031179987063119,313.87938288920054,91.0,1.0,0.04728511320376678
R,transmission,Delay embedding,2,1,ok,,2.0555619097971314,2.0555619097971314,4999,2,0.036577372810993915,0.07428057968782804,0.00020824850202956266,1.6487177997529974,2.0307795223464233,-1.4367874911567171,592.3230646129226,211.0,1.0,0.011002200440088018
R,transmission,Delay embedding,3,1,ok,,3.566709949036462,3.566709949036462,4998,3,0.11691778211153653,0.1504327343791778,0.0010420411909508591,2.005489940406329,1.286654020124862,-0.9321194316435675,471.85414165666265,160.0,1.0,0.012204881952781112
R,transmission,Delay embedding,4,1,ok,,4.278937035552159,4.278937035552159,4997,4,0.22074534482594257,0.23625664760387066,0.00311961896140898,2.349437259964807,1.0702678590531023,-0.6561084462432065,420.80948569141486,145.0,1.0,0.01380828497098259
R,transmission,Delay embedding,5,1,ok,,4.520329747242664,4.520329747242664,4996,5,0.3292170850137304,0.3199376904886184,0.008595743797302524,2.9291794388314596,0.9718137516292729,-0.4825176347748181,373.0360288230585,116.0,1.0,0.019015212169735788
R,transmission,Delay embedding,6,1,ok,,4.857856056603393,4.857856056603393,4995,6,0.43547339569507304,0.39881686421691603,0.013392383603688707,2.979100483179108,0.9158237177254787,-0.3610383721266271,341.45705705705706,106.0,1.0,0.023423423423423424
R,transmission,Delay embedding,7,1,ok,,5.110448823226648,5.110448823226648,4994,7,0.5372572816279806,0.4716752644606153,0.015682971597342898,3.0175757633902185,0.8779318225906244,-0.26981768965717035,328.0426511814177,102.0,1.0,0.02262715258309972
R,transmission,Delay embedding,8,1,ok,,5.152330024862782,5.152330024862782,4993,8,0.6389558286203162,0.5457225084112798,0.017396621280314686,3.3876599909942877,0.8540848740495768,-0.19452916382764732,319.7935109152814,96.0,1.0,0.03084318045263369
R,transmission,Delay embedding,9,1,ok,,5.228477915892679,5.228477915892679,4992,9,0.7376157469034856,0.6183970684130272,0.0199372957933263,3.580726254267197,0.838372921142509,-0.13216982036992864,313.74178685897436,90.0,1.0,0.03826121794871795
R,transmission,Delay embedding,10,1,ok,,5.325214923775422,5.325214923775422,4991,10,0.83329312377196,0.6901250019174285,0.04263196901416654,3.695217316695825,0.8281899636861288,-0.07920220190143219,314.16710078140653,90.0,1.0,0.0484872770987778
S,Sigma_R_cm_inv,Delay embedding,2,1,ok,,1.3365197978803027,1.3365197978803027,4999,2,0.046029257197284894,0.12458014355853206,0.0001825246600711726,3.301114805429388,2.7065425588309098,-1.3369660335198637,588.382276455291,214.0,1.0,0.011002200440088018
S,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.291294820075171,2.291294820075171,4998,3,0.15074835728217995,0.277006204689294,0.001824126027075832,5.802260006774745,1.8375404527224093,-0.821747411703482,471.7372949179672,169.5,1.0,0.012404961984793917
S,Sigma_R_cm_inv,Delay embedding,4,1,ok,,2.988499185059178,2.988499185059178,4997,4,0.2753652324734664,0.4182847930924817,0.003938083998597974,6.766760076507204,1.5190181757287304,-0.5600908944990942,425.43125875525317,145.0,1.0,0.011406844106463879
S,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.366910168202433,3.366910168202433,4996,5,0.4080033342060251,0.5540783838592672,0.006947886848785293,7.7847480501949935,1.3580241566803526,-0.389336287837091,400.43975180144116,131.0,1.0,0.015412329863891112
S,Sigma_R_cm_inv,Delay embedding,6,1,ok,,3.63938157435377,3.63938157435377,4995,6,0.5399398551968887,0.6897595319289771,0.013501473872536893,8.367976551956692,1.2774747507315964,-0.2676546142704097,383.6216216216216,125.0,1.0,0.02142142142142142
S,Sigma_R_cm_inv,Delay embedding,7,1,ok,,3.6917131494190194,3.6917131494190194,4994,7,0.667834920926751,0.8208306676759695,0.022826091936709196,9.803763557298375,1.229092163278431,-0.17533087553366075,369.7036443732479,119.0,1.0,0.025830997196635962
S,Sigma_R_cm_inv,Delay embedding,8,1,ok,,3.852378697733869,3.852378697733869,4993,8,0.7944688607011577,0.9491971879334052,0.02894592515587425,10.221611744585234,1.1947569437705807,-0.09992312034489591,361.66853595033047,115.0,1.0,0.03424794712597637
S,Sigma_R_cm_inv,Delay embedding,9,1,ok,,3.911650481327867,3.911650481327867,4992,9,0.9121601828047465,1.058172954998793,0.033612968870238194,11.109341961051006,1.160073608720697,-0.03992888930310871,352.47976762820514,107.0,1.0,0.04046474358974359
S,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.016241375707146,4.016241375707146,4991,10,1.027027099831166,1.159383379720364,0.04005154110174955,11.479766791063296,1.1288732107554196,0.01158190333660865,341.3536365457824,101.0,1.0,0.0486876377479463
S,transmission,Delay embedding,2,1,ok,,2.145666894501893,2.145666894501893,4999,2,0.03638684600365391,0.06916045157508038,0.00018359144542827438,1.5702964689237386,1.9006992682530028,-1.4390555872315236,593.4184836967394,213.0,1.0,0.010802160432086417
S,transmission,Delay embedding,3,1,ok,,3.58614569465918,3.58614569465918,4998,3,0.12270313197638837,0.15944169530694036,0.001852080510766475,2.0753755211052116,1.299410151456624,-0.9111443518358513,471.0450180072029,170.0,1.0,0.012404961984793917
S,transmission,Delay embedding,4,1,ok,,4.207230732393156,4.207230732393156,4997,4,0.23046156733648054,0.2511818315053236,0.003993445654687091,2.569368109939739,1.0899076770466503,-0.6374014888639874,426.77146287772666,145.0,1.0,0.011206724034420652
S,transmission,Delay embedding,5,1,ok,,4.6140710390386666,4.6140710390386666,4996,5,0.3451812726203831,0.34073903194215094,0.0069083302622299555,2.8913245155626157,0.9871307019482929,-0.4619527744221179,398.5816653322658,133.0,1.0,0.01521216973578863
S,transmission,Delay embedding,6,1,ok,,4.747277004578505,4.747277004578505,4995,6,0.4595017264517128,0.428416844613764,0.013585900044104073,3.4299058285533794,0.9323508921741828,-0.3377128525314546,387.434034034034,125.0,1.0,0.02142142142142142
S,transmission,Delay embedding,7,1,ok,,4.788483515159103,4.788483515159103,4994,7,0.5699717652276614,0.5125569311101692,0.023067419732307408,4.038177309676226,0.899267231078616,-0.24414665750137254,374.14417300760914,119.0,1.0,0.026631958350020024
S,transmission,Delay embedding,8,1,ok,,4.822597239169267,4.822597239169267,4993,8,0.6799752576608509,0.5964449119524989,0.029254912344780854,4.621963297564786,0.8771567865622381,-0.16750688972968036,361.84358101341877,113.0,1.0,0.03464850791107551
S,transmission,Delay embedding,9,1,ok,,4.9165049507898,4.9165049507898,4992,9,0.7850192042439079,0.6749534038316385,0.034344374542550564,4.894216070172617,0.8597922193264823,-0.10511971880178474,354.5236378205128,107.0,1.0,0.04146634615384615
S,transmission,Delay embedding,10,1,ok,,5.026975962354184,5.026975962354184,4991,10,0.8872415936240384,0.7477911090631938,0.040946155941247064,5.019985078953678,0.8428269306085097,-0.05195810678403704,345.94790623121617,101.0,1.0,0.04908835904628331
T,Sigma_R_cm_inv,Delay embedding,2,1,ok,,1.3024458559082255,1.3024458559082255,4999,2,0.048532942433286645,0.15109834296809616,7.651903820775112e-05,3.4447955431242203,3.1133151090660234,-1.3139633776681103,615.1872374474895,233.0,1.0,0.011202240448089618
T,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.2852436002684935,2.2852436002684935,4998,3,0.15110718267912418,0.2888387004486274,0.0005541092589780803,5.893710572981993,1.9114822692450322,-0.820714891556383,492.95638255302123,173.0,1.0,0.009603841536614645
T,Sigma_R_cm_inv,Delay embedding,4,1,ok,,3.18818900848755,3.18818900848755,4997,4,0.2792400859700468,0.42946393258025956,0.0025668580955929598,5.982641043938107,1.5379737872763328,-0.5540222369572028,437.20052031218734,140.0,1.0,0.011006603962377426
T,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.5664783869378534,3.5664783869378534,4996,5,0.41181465889371194,0.5687967696771418,0.0071252682532119615,6.8942958964338965,1.3811960244537222,-0.38529819835961854,415.23698959167336,124.0,1.0,0.012810248198558846
T,Sigma_R_cm_inv,Delay embedding,6,1,ok,,3.8352832685158136,3.8352832685158136,4995,6,0.5457818605797754,0.713079381339192,0.012575055559518959,7.500259495191159,1.3065281806551663,-0.26298090248910777,398.605005005005,121.0,1.0,0.016416416416416415
T,Sigma_R_cm_inv,Delay embedding,7,1,ok,,3.8666674696083003,3.8666674696083003,4994,7,0.6765582489187547,0.8506652014270444,0.014410342124433062,8.980007386559896,1.2573421472360766,-0.16969480646413712,388.35302362835404,113.0,1.0,0.021826191429715657
T,Sigma_R_cm_inv,Delay embedding,8,1,ok,,3.990462619740636,3.990462619740636,4993,8,0.8053721902874433,0.9829305908985035,0.019449314303170488,9.603865053668912,1.2204675089991224,-0.09400337077128826,374.41798517925093,108.0,1.0,0.029240937312237134
T,Sigma_R_cm_inv,Delay embedding,9,1,ok,,3.40231122067853,3.40231122067853,4992,9,0.9335792831569382,1.1379393474455894,0.030599084965462167,16.624673649391422,1.2188995278433987,-0.029848794184212258,371.93189102564105,107.0,1.0,0.034254807692307696
T,Sigma_R_cm_inv,Delay embedding,10,1,ok,,3.5495046023213,3.5495046023213,4991,10,1.0548578730915383,1.275010559420905,0.03438133197248292,16.63007449625867,1.2087036480876256,0.023193948648188613,361.9625325586055,104.0,1.0,0.04127429372871168
T,transmission,Delay embedding,2,1,ok,,2.169794528685096,2.169794528685096,4999,2,0.03648086117467983,0.07481367733264079,8.093547172370096e-05,1.5278862517632092,2.0507651113925935,-1.4379349181662295,603.0228045609122,229.0,1.0,0.010802160432086417
T,transmission,Delay embedding,3,1,ok,,2.861233672315195,2.861233672315195,4998,3,0.1203991085313581,0.1613281984257337,0.000520232418287948,3.4414828805365816,1.3399451241150644,-0.9193767287003785,496.46838735494197,173.0,1.0,0.009603841536614645
T,transmission,Delay embedding,4,1,ok,,3.5789950359922362,3.5789950359922362,4997,4,0.22905496196501063,0.25562345642069206,0.002643295549104159,4.018132809889942,1.1159917874148648,-0.6400602957625254,444.4176505903542,143.0,1.0,0.011006603962377426
T,transmission,Delay embedding,5,1,ok,,4.085104594239483,4.085104594239483,4996,5,0.34323066689104664,0.3454263698786436,0.007395239260045236,4.179962632384492,1.0063971643515397,-0.46441391584959135,409.27882305844673,123.0,1.0,0.01301040832666133
