Omega,K,rotation_mean_mod1,rotation_std_across_samples,rotation_mean_unwrapped,nearest_low_order_rational,nearest_rational_p,nearest_rational_q,rational_distance,low_order_lock_within_tolerance
0.21153846153846156,0.06041524333826525,0.2113564900660752,6.595209610903412e-08,0.2113564900660752,0.2,1,5,0.011356490066075198,False
0.22115384615384617,0.06041524333826525,0.22101158522518058,2.2200129609784136e-06,0.22101158522518058,0.2,1,5,0.021011585225180568,False
0.23076923076923078,0.06041524333826525,0.2305869214316253,3.066389697752504e-06,0.2305869214316253,0.25,1,4,0.01941307856837471,False
0.2403846153846154,0.06041524333826525,0.24022830701488487,1.02968091700223e-06,0.24022830701488487,0.25,1,4,0.009771692985115127,True
0.25,0.06041524333826525,0.24984626862855455,4.186559610355969e-06,0.24984626862855455,0.25,1,4,0.00015373137144544802,True
0.25961538461538464,0.06041524333826525,0.2594910317564728,1.8204775032965725e-06,0.2594910317564728,0.25,1,4,0.009491031756472812,True
0.2692307692307693,0.06041524333826525,0.2691191345033565,1.2979401086059224e-06,0.2691191345033565,0.2857142857142857,2,7,0.016595151210929193,False
0.27884615384615385,0.06041524333826525,0.2786902644530836,6.816015818321547e-07,0.2786902644530836,0.2857142857142857,2,7,0.007024021261202107,True
0.2884615384615385,0.06041524333826525,0.28835563871880043,2.4933695511449657e-07,0.28835563871880043,0.2857142857142857,2,7,0.002641353004514735,True
0.2980769230769231,0.06041524333826525,0.2979914326342496,1.8495456368421845e-06,0.2979914326342496,0.2857142857142857,2,7,0.0122771469199639,False
0.3076923076923077,0.06041524333826525,0.30757803910695586,2.9257436404723616e-06,0.30757803910695586,0.2857142857142857,2,7,0.02186375339267016,False
0.31730769230769235,0.06041524333826525,0.31721353490073095,2.6964838235671246e-07,0.31721353490073095,0.3333333333333333,1,3,0.01611979843260236,False
0.3269230769230769,0.06041524333826525,0.3268258743447693,3.2589149541411137e-06,0.3268258743447693,0.3333333333333333,1,3,0.00650745898856403,True
0.33653846153846156,0.06041524333826525,0.336470922857188,1.8861367188273772e-06,0.336470922857188,0.3333333333333333,1,3,0.003137589523854678,True
0.34615384615384615,0.06041524333826525,0.34608827682424137,7.319731679794475e-07,0.34608827682424137,0.3333333333333333,1,3,0.012754943490908055,False
0.3557692307692308,0.06041524333826525,0.35566829178686177,3.198936176177137e-07,0.35566829178686177,0.375,3,8,0.019331708213138232,False
0.3653846153846154,0.06041524333826525,0.3653307601562124,5.070771962063716e-07,0.3653307601562124,0.375,3,8,0.009669239843787591,True
0.375,0.06041524333826525,0.3749547670889679,1.487974106425191e-06,0.3749547670889679,0.375,3,8,4.523291103208926e-05,True
0.38461538461538464,0.06041524333826525,0.3845486975682687,2.891009700403968e-06,0.3845486975682687,0.375,3,8,0.009548697568268705,True
0.3942307692307693,0.06041524333826525,0.39418084779118756,3.3595907540967953e-07,0.39418084779118756,0.4,2,5,0.005819152208812461,True
0.40384615384615385,0.06041524333826525,0.40379136876360805,2.677927179305435e-06,0.40379136876360805,0.4,2,5,0.0037913687636080273,True
0.4134615384615385,0.06041524333826525,0.41343804783460364,1.8631491436809606e-06,0.41343804783460364,0.4,2,5,0.013438047834603617,False
0.42307692307692313,0.06041524333826525,0.42304627716384424,3.2974752437166833e-07,0.42304627716384424,0.42857142857142855,3,7,0.0055251514075843056,True
0.4326923076923077,0.06041524333826525,0.4326341009682135,1.6177812300103352e-07,0.4326341009682135,0.42857142857142855,3,7,0.004062672396784928,True
0.44230769230769235,0.06041524333826525,0.44229543221659146,8.377586774168708e-07,0.44229543221659146,0.42857142857142855,3,7,0.013724003645162908,False
0.4519230769230769,0.06041524333826525,0.4519118540922139,1.1350714760708406e-06,0.4519118540922139,0.42857142857142855,3,7,0.023340425520785357,False
0.46153846153846156,0.06041524333826525,0.4615110773390566,2.9076683356824266e-06,0.4615110773390566,0.42857142857142855,3,7,0.03293964876762806,False
0.4711538461538462,0.06041524333826525,0.47114091167314154,6.581976884893944e-07,0.47114091167314154,0.5,1,2,0.028859088326858462,False
0.4807692307692308,0.06041524333826525,0.480749771775232,2.585429762497377e-06,0.480749771775232,0.5,1,2,0.019250228224768018,False
0.4903846153846154,0.06041524333826525,0.49040479191414454,1.8771559430878119e-06,0.49040479191414454,0.5,1,2,0.009595208085855456,True
0.5,0.06041524333826525,0.5000677399381268,2.0987227537301315e-05,0.5000677399381268,0.5,1,2,6.773993812680956e-05,True
0.5096153846153847,0.06041524333826525,0.5095934166387628,1.0522789048841908e-06,0.5095934166387628,0.5,1,2,0.009593416638762786,True
0.5192307692307693,0.06041524333826525,0.5192597186890224,4.618584819268578e-07,0.5192597186890224,0.5,1,2,0.01925971868902243,False
0.5288461538461539,0.06041524333826525,0.5288632208596535,7.0255849353169e-07,0.5288632208596535,0.5,1,2,0.028863220859653538,False
0.5384615384615385,0.06041524333826525,0.5384702376630736,2.966829559432617e-06,0.5384702376630736,0.5714285714285714,4,7,0.03295833376549784,False
