subsample_index,phase_cycles,cross_sample_resultant_length
364,0.9903654079394512,0.8696469068614029
365,0.07424205635999566,0.8479569925863971
366,0.05253288409815246,0.9199926919993836
367,0.0242131613139807,0.9287951061408818
368,0.007065330662062657,0.790352412519818
369,0.06820494563503253,0.64691855379946
370,0.18504413117433538,0.6911328587610489
371,0.0704235988669773,0.8795014851029191
372,0.25400090421821153,0.5313251756319737
373,0.6194566051342931,0.8685522160279218
374,0.9192204537960675,0.8742589926573293
375,0.7436779413132399,0.45737607235875327
376,0.6469750277907211,0.47804821812842035
377,0.7280790671522817,0.8316932529816399
378,0.8396732333519411,0.7902896595282664
379,0.8025200149176542,0.3608292348284501
380,0.8594549002655243,0.40100290080785606
381,0.8096204987902308,0.38727693524660134
382,0.9059397863785607,0.6941386404810481
383,0.8999321036573092,0.8816756691372245
384,0.9377466655957939,0.8751762081177857
385,0.9142746694516591,0.7933329583698042
386,0.9733220562871796,0.6037102465810547
387,0.8811597978406737,0.7365839675604678
388,0.9172819722191099,0.8240807793515934
389,0.08305094058157307,0.8669382259650426
390,0.09551428458975345,0.6807364082719838
391,0.937326899757533,0.42300382173099466
392,0.903994133921465,0.8485338208090955
393,0.1370154687621791,0.3137578071347841
394,0.03517180949390725,0.474155376364457
395,0.9870831589277709,0.4866032409677735
396,0.8960364814629765,0.6942079209459625
397,0.12721479562054008,0.8132198992502735
398,0.47901421932724547,0.7634529522615309
399,0.7936669068987154,0.6994918414732892
400,0.01532188657910107,0.6511598918273905
401,0.3567860815463889,0.5378374214545266
402,0.7195457136696819,0.5520323377314269
403,0.7867618035044113,0.8159943444669566
404,0.9846909667021505,0.7653940255290753
405,0.1790518283948774,0.6159940083113831
406,0.8540239735572551,0.7067116561737861
407,0.7589775476750974,0.8945205999126461
408,0.8656301201128822,0.8814031256082927
409,0.04534672915764878,0.5302543146239599
410,0.08801746073749017,0.4528442296110528
411,0.8206386468372434,0.5507475838540695
412,0.8972452730439897,0.5663962780725192
413,0.8148633314286373,0.7996296599041326
414,0.05936077185634831,0.32658426920084216
415,0.2370591624589314,0.4353315079794814
416,0.7743570408202911,0.5124177179126499
417,0.06543971467007045,0.5875813464467912
418,0.662078180420907,0.5033329881926205
419,0.6388631897933791,0.8645762858528577
420,0.873941507781671,0.5978144908438883
421,0.5821803072657106,0.07661770965202891
422,0.6786226187614268,0.6609300478717137
423,0.7719141196983306,0.8953323807924431
424,0.8232045397782403,0.4040714612865405
425,0.7132596500495766,0.838282797853849
426,0.8764015354209148,0.5735589145436661
427,0.6815409689000977,0.9474980974105103
428,0.7360966415689278,0.302448064878533
429,0.866215338766323,0.689441071317859
430,0.8556884331332052,0.528172083624349
431,0.751442028650299,0.9320019236419506
432,0.8266278065455043,0.749147674272413
433,0.7126796911805017,0.8150658780196521
434,0.7706421831351459,0.8935621617258398
435,0.8026319276769133,0.8099153673365546
436,0.903290945681767,0.939134288286936
437,0.8067149313023739,0.35040420905888897
438,0.7049159616301688,0.8770562027944685
439,0.9786790004022335,0.38626633238404995
440,0.7861243597249877,0.9303880064941389
441,0.7750534251882264,0.42571839127257743
442,0.716460209358539,0.5365037466412044
443,0.742348919798886,0.548094726370374
444,0.7685324353013987,0.6803427627289547
445,0.7595112969240022,0.89600798081046
446,0.7996988265480276,0.9160232659659859
447,0.8167844799381396,0.8715413844511449
448,0.709084184066028,0.9586548907738003
449,0.751533742249933,0.907822349492466
450,0.7744600367242099,0.9355051384338939
451,0.6892908467387536,0.8518164014495514
452,0.7598979290504192,0.9428966416123145
453,0.7666854780642528,0.9678154814639105
454,0.8573559157867197,0.9369576336684998
455,0.834585525131813,0.9333720516032322
456,0.767415442348536,0.8087026948219955
457,0.7540429372395707,0.9000991527025304
458,0.8438924935024654,0.9861346972558146
459,0.9014568088369034,0.25890654130835855
460,0.7395944066822608,0.6970493911659043
461,0.8349408220395769,0.7769811489735212
462,0.8420836304682302,0.7639787169574808
