Omega,K,proportion_fixed_point_locked
0.39215686274509803,2.463994238109642,0.018285714285714287
0.4117647058823529,2.463994238109642,0.0
0.43137254901960786,2.463994238109642,0.0
0.45098039215686275,2.463994238109642,0.0
0.47058823529411764,2.463994238109642,0.0
0.49019607843137253,2.463994238109642,0.0
0.5098039215686274,2.463994238109642,0.0
0.5294117647058824,2.463994238109642,0.0
0.5490196078431373,2.463994238109642,0.0
0.5686274509803921,2.463994238109642,0.0
0.5882352941176471,2.463994238109642,0.0
0.6078431372549019,2.463994238109642,0.016
0.6274509803921569,2.463994238109642,0.7434285714285714
0.6470588235294118,2.463994238109642,0.9291428571428572
0.6666666666666666,2.463994238109642,0.7765714285714286
0.6862745098039216,2.463994238109642,0.9171428571428571
0.7058823529411764,2.463994238109642,0.6045714285714285
0.7254901960784313,2.463994238109642,0.004
0.7450980392156863,2.463994238109642,0.001142857142857143
0.7647058823529411,2.463994238109642,0.0
0.7843137254901961,2.463994238109642,0.0
0.803921568627451,2.463994238109642,0.0
0.8235294117647058,2.463994238109642,0.0
0.8431372549019608,2.463994238109642,0.0
0.8627450980392157,2.463994238109642,0.0
0.8823529411764706,2.463994238109642,0.0
0.9019607843137255,2.463994238109642,0.0
0.9215686274509803,2.463994238109642,0.0
0.9411764705882353,2.463994238109642,0.0
0.9607843137254902,2.463994238109642,0.0
0.9803921568627451,2.463994238109642,0.0
1.0,2.463994238109642,0.0
0.0,2.7103936619206057,0.0
0.0196078431372549,2.7103936619206057,0.0
0.0392156862745098,2.7103936619206057,0.0
0.058823529411764705,2.7103936619206057,0.0
0.0784313725490196,2.7103936619206057,0.0
0.09803921568627451,2.7103936619206057,0.0
0.11764705882352941,2.7103936619206057,0.0
0.13725490196078433,2.7103936619206057,0.0
0.1568627450980392,2.7103936619206057,0.0
0.1764705882352941,2.7103936619206057,0.0
0.19607843137254902,2.7103936619206057,0.0
0.21568627450980393,2.7103936619206057,0.0
0.23529411764705882,2.7103936619206057,0.0
0.2549019607843137,2.7103936619206057,0.0
0.27450980392156865,2.7103936619206057,0.0
0.29411764705882354,2.7103936619206057,0.0
0.3137254901960784,2.7103936619206057,0.0005714285714285715
0.3333333333333333,2.7103936619206057,0.025142857142857144
0.3529411764705882,2.7103936619206057,0.8137142857142857
0.37254901960784315,2.7103936619206057,0.9834285714285714
0.39215686274509803,2.7103936619206057,0.992
0.4117647058823529,2.7103936619206057,0.8948571428571429
0.43137254901960786,2.7103936619206057,0.008571428571428572
0.45098039215686275,2.7103936619206057,0.0
0.47058823529411764,2.7103936619206057,0.0
0.49019607843137253,2.7103936619206057,0.0
0.5098039215686274,2.7103936619206057,0.0
0.5294117647058824,2.7103936619206057,0.0
0.5490196078431373,2.7103936619206057,0.0
0.5686274509803921,2.7103936619206057,0.010285714285714285
0.5882352941176471,2.7103936619206057,0.916
0.6078431372549019,2.7103936619206057,0.9948571428571429
0.6274509803921569,2.7103936619206057,0.9822857142857143
0.6470588235294118,2.7103936619206057,0.8462857142857143
0.6666666666666666,2.7103936619206057,0.023428571428571427
0.6862745098039216,2.7103936619206057,0.0
0.7058823529411764,2.7103936619206057,0.0
0.7254901960784313,2.7103936619206057,0.0
0.7450980392156863,2.7103936619206057,0.0
0.7647058823529411,2.7103936619206057,0.0
0.7843137254901961,2.7103936619206057,0.0
0.803921568627451,2.7103936619206057,0.0
0.8235294117647058,2.7103936619206057,0.0
0.8431372549019608,2.7103936619206057,0.0
0.8627450980392157,2.7103936619206057,0.0
