source_file,extension,size_bytes,run_number,title,sample_name,start_time,end_time,proton_charge,good_frames
2000164/VESUVIO00042870.raw,.raw,12042240,42870,,,,,,
2000164/VESUVIO00042887_ICPevent.txt,.txt,3405,42887,,,,,,
2000164/VESUVIO00042881_ICPalarm.txt,.txt,0,42881,,,,,,
2000164/VESUVIO00042874_ICPalarm.txt,.txt,0,42874,,,,,,
2000164/VESUVIO00042768.nxs,.nxs,15730503,42768,concrete 3.16g/cm3 1.20x5.0x5.0cm3 74.8g in Empty tank,,2020-10-06T15:08:52,2020-10-06T16:10:13,[30.027462 29.994106 29.995758 29.990662 30.01381  30.0447  ],132641.0
2000164/VESUVIO00042881_ICPevent.txt,.txt,3401,42881,,,,,,
2000164/VESUVIO00042773_ICPevent.txt,.txt,3401,42773,,,,,,
2000164/VESUVIO00042870.log,.log,6812,42870,,,,,,
2000164/VESUVIO00042869_ICPdebug.txt,.txt,38983,42869,,,,,,
2000164/VESUVIO00042771.log,.log,15426,42771,,,,,,
2000164/VESUVIO00042883.nxs,.nxs,15644316,42883,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T02:35:43,2020-10-15T03:37:12,[30.015259 30.000847 29.998959 29.99009  30.008709 30.051613],133111.0
2000164/VESUVIO00042883_ICPalarm.txt,.txt,0,42883,,,,,,
2000164/VESUVIO00042869_ICPevent.txt,.txt,3395,42869,,,,,,
2000164/VESUVIO00042876_ICPdebug.txt,.txt,43528,42876,,,,,,
2000164/VESUVIO00042758.log,.log,26607,42758,,,,,,
2000164/VESUVIO00042872_ICPevent.txt,.txt,1826,42872,,,,,,
2000164/VESUVIO00042879_ICPevent.txt,.txt,3401,42879,,,,,,
