run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,response_value,response_sigma,controlled_geometry_family_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,response_unit
CTRL_JAERI43_T000,0,1.6437283153702097e-05,2.10377611408892e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.10377611408892e-05,2.6925824035672502e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.6925824035672502e-05,3.446184197760871e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,3.446184197760871e-05,4.4107045745982086e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,4.4107045745982086e-05,5.6451755704242055e-05,0.1445909615577955,0.1445909615577955,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,5.6451755704242055e-05,7.225151148060553e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,7.225151148060553e-05,9.247331364823784e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,9.247331364823784e-05,0.0001183548075583,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0001183548075583,0.0001514800315846,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0001514800315846,0.000193876365838,0.2891953114695343,0.2044918637059586,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
