keywords,text
channel,2021-05-09T09:02:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T10:06:50 Programming Time channels
channel,2021-05-09T10:06:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T10:06:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T10:06:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:02:32 Programming Time channels
channel,2021-05-09T11:02:32 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:02:32 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:02:33 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:10:45 Programming Time channels
channel,2021-05-09T11:10:45 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:10:45 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:10:45 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:20:04 Programming Time channels
channel,2021-05-09T11:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:28:16 Programming Time channels
channel,2021-05-09T11:28:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:28:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:28:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:36:28 Programming Time channels
channel,2021-05-09T11:36:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:36:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:36:28 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T11:44:40 Programming Time channels
channel,2021-05-09T11:44:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T11:44:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T11:44:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:07:59 Programming Time channels
channel,2021-05-09T12:07:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:07:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:07:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:16:11 Programming Time channels
channel,2021-05-09T12:16:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:16:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:16:11 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:24:23 Programming Time channels
channel,2021-05-09T12:24:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:24:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:24:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:32:34 Programming Time channels
channel,2021-05-09T12:32:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:32:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:32:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:40:46 Programming Time channels
channel,2021-05-09T12:40:46 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:40:46 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:40:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T12:48:58 Programming Time channels
channel,2021-05-09T12:48:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T12:48:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T12:48:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T13:38:20 Programming Time channels
channel,2021-05-09T13:38:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T13:38:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T13:38:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T13:46:31 Programming Time channels
channel,2021-05-09T13:46:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T13:46:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T13:46:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T13:54:43 Programming Time channels
channel,2021-05-09T13:54:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T13:54:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T13:54:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T14:02:55 Programming Time channels
channel,2021-05-09T14:02:55 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T14:02:55 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T14:02:55 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T14:11:06 Programming Time channels
channel,2021-05-09T14:11:06 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T14:11:06 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T14:11:06 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T14:20:01 Programming Time channels
channel,2021-05-09T14:20:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T14:20:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T14:20:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T14:41:46 Programming Time channels
channel,2021-05-09T14:41:46 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T14:41:46 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T14:41:46 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T17:24:43 Programming Time channels
channel,2021-05-09T17:24:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T17:24:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T17:24:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T18:27:49 Programming Time channels
channel,2021-05-09T18:27:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T18:27:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T18:27:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T19:32:32 Programming Time channels
channel,2021-05-09T19:32:32 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T19:32:32 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T19:32:32 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T20:37:17 Programming Time channels
channel,2021-05-09T20:37:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T20:37:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T20:37:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T20:43:17 Programming Time channels
channel,2021-05-09T20:43:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T20:43:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T20:43:17 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T21:48:01 Programming Time channels
channel,2021-05-09T21:48:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T21:48:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T21:48:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T22:52:47 Programming Time channels
channel,2021-05-09T22:52:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T22:52:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T22:52:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T23:57:58 Programming Time channels
channel,2021-05-09T23:57:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T23:57:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T23:57:58 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T01:02:47 Programming Time channels
channel,2021-05-10T01:02:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T01:02:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T01:02:47 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T02:07:34 Programming Time channels
channel,2021-05-10T02:07:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T02:07:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T02:07:34 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T03:12:22 Programming Time channels
