run_number,path,shape,dtype,size,role
44712,raw_data_1/selog/CCR/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/CCR/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/CCR/setpoint,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/CCR/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/CCR/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/CCR/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/CCR/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/CCR/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/CCR/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/CCR/value_log/time,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/CCR/value_log/value,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/CCR/value_log/value_valid,"(3,)",int32,3,early_empty_control
44712,raw_data_1/selog/CCR/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/CCR/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/setpoint,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/time,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/value,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_log/value_valid,"(3,)",int32,3,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Collimator_Tube/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/setpoint,"(1, 1)",|S3,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/time,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/value,"(3, 1)",|S8,3,early_empty_control
44712,raw_data_1/selog/DAE_timing/value_log/value_valid,"(3,)",int32,3,early_empty_control
